PCP_Specific Surface Area (BET)_value,PCP_Total Pore Volume_value,PCP_Micropore Volume_value,PCP_Micropore Specific Surface Area_value,PCP_Mesopore Volume_value,PCP_Average Pore Diameter_value,PCP_Degree of Graphitization (Raman ID_IG)_value,PCP_Interlayer Spacing (XRD d002)_value,PCP_Element Content_C_value,PCP_Element Content_N_value,PCP_Element Content_O_value,PCP_Element Content_H_value,PCP_Element Content_S_value,Electrochem_Specific Capacitance_condition_value,Electrochem_Specific Capacitance_value,Electrochem_Cycle Stability_Cycle Number_value,Electrochem_Cycle Stability_Capacity Retention_value,Electrochem_Energy Density_value,Electrochem_Power Density_value,Electrochem_Voltage Window_value_min,Electrochem_Voltage Window_value_max,Electrochem_ESR_value,Electrochem_Rct_value,Preparation_Carbonization Temperature_value,doi
407.0,0.3,,,,2.9,,,73.5,1.8,17.1,,,0.05,,300.0,,,,0.01,2.0,,,950.0,10.1016_j.est.2024.110694_extracted_structured
19.0,0.03,,,,6.3,,,64.1,2.3,,,,0.5,,300.0,,,,0.01,2.0,,,950.0,10.1016_j.est.2024.110694_extracted_structured
19.0,0.03,,,,6.3,,,64.1,2.3,,,,0.05,,300.0,,,,0.01,2.0,,,950.0,10.1016_j.est.2024.110694_extracted_structured
1123.0,,,,,,,,,,,,,1.0,172.2,,,,,-0.9,0.1,,,800.0,10.1016_j.apsusc.2020.146696_extracted_structured
1486.0,,,,,,,,,,,,,1.0,205.6,,,,,-0.9,0.1,,,800.0,10.1016_j.apsusc.2020.146696_extracted_structured
930.0,,,,,,,,,,,,,1.0,496.1,5000.0,93.5,57.7,,-0.9,0.1,,,800.0,10.1016_j.apsusc.2020.146696_extracted_structured
930.0,,,,,,,,,,,,,0.5,,5000.0,93.5,57.7,,-0.9,0.1,,,800.0,10.1016_j.apsusc.2020.146696_extracted_structured
930.0,,,,,,,,,,,,,0.5,,5000.0,93.5,57.7,,-0.9,0.1,,,800.0,10.1016_j.apsusc.2020.146696_extracted_structured
468.0,,,,,,,,,,,,,1.0,336.2,,,,,-0.9,0.1,,,800.0,10.1016_j.apsusc.2020.146696_extracted_structured
1.08,0.001,,,,6.09,,,,,,,,,3.2,,,,,0.0,2.0,,,,10.1016_j.inoche.2023.111404_extracted_structured
1.08,0.001,,,,6.09,,,,,,,,5.0,3.2,,,,,0.0,2.0,,,,10.1016_j.inoche.2023.111404_extracted_structured
536.0,0.29,,,,2.17,0.82,,,,,,,2.0,386.0,,90.0,38.6,9000.0,0.0,2.0,1.5,2.07,750.0,10.1016_j.inoche.2023.111404_extracted_structured
536.0,0.29,,,,2.17,0.82,,,,,,,2.5,253.0,,90.0,38.6,9000.0,0.0,2.0,1.5,2.07,750.0,10.1016_j.inoche.2023.111404_extracted_structured
536.0,0.29,,,,2.17,0.82,,,,,,,2.0,112.0,,90.0,38.6,9000.0,0.0,2.0,1.5,2.07,750.0,10.1016_j.inoche.2023.111404_extracted_structured
536.0,0.29,,,,2.17,0.82,,,,,,,2.5,86.0,,90.0,38.6,9000.0,0.0,2.0,1.5,2.07,750.0,10.1016_j.inoche.2023.111404_extracted_structured
82.0,0.038,,,,1.88,0.78,,,,,,,2.0,225.0,,,,,0.0,2.0,4.0,7.2,750.0,10.1016_j.inoche.2023.111404_extracted_structured
82.0,0.038,,,,1.88,0.78,,,,,,,2.5,167.0,,,,,0.0,2.0,4.0,7.2,750.0,10.1016_j.inoche.2023.111404_extracted_structured
343.0,0.17,,,,2.08,0.79,,,,,,,2.0,312.0,,,,,0.0,2.0,3.3,6.5,750.0,10.1016_j.inoche.2023.111404_extracted_structured
343.0,0.17,,,,2.08,0.79,,,,,,,2.5,233.0,,,,,0.0,2.0,3.3,6.5,750.0,10.1016_j.inoche.2023.111404_extracted_structured
939.0,0.48,0.37,0.37,0.11,,,,,,,,,0.5,170.0,,,,,0.0,1.2,0.27,,800.0,10.1016_j.fuel.2022.125385_extracted_structured
1021.0,0.52,0.4,0.4,0.12,,,,88.05,,10.25,,1.69,0.5,227.0,,,,,0.0,1.2,0.19,,800.0,10.1016_j.fuel.2022.125385_extracted_structured
738.0,0.35,0.22,0.22,0.13,,,,,,,,,0.5,123.0,,,,,0.0,1.2,0.24,,900.0,10.1016_j.fuel.2022.125385_extracted_structured
697.0,0.593,0.2,,0.393,,,,,,,,,2.0,54.0,,,,,0.05,1.05,,,,10.1016_j.biombioe.2012.01.019_extracted_structured
399.0,0.218,0.13,,0.088,,,,,,,,,2.0,83.0,,,,,0.05,1.05,,,,10.1016_j.biombioe.2012.01.019_extracted_structured
417.0,0.198,0.14,,0.038,,,,,,,,,2.0,30.0,,,,,0.05,1.05,,,,10.1016_j.biombioe.2012.01.019_extracted_structured
1228.0,0.528,0.48,,0.048,,,,,,,,,2.0,109.0,,,,,0.05,1.05,,,,10.1016_j.biombioe.2012.01.019_extracted_structured
1420.0,0.633,0.55,,0.083,,,,,,,,,2.0,81.0,,,,,0.05,1.05,,,,10.1016_j.biombioe.2012.01.019_extracted_structured
600.0,,,,,,0.938,,,,,,,0.1,,4950.0,100.0,,,0.5,1.5,,,800.0,10.1016_j.jelechem.2025.119106_extracted_structured
200.0,,,,,,0.832,,,,,,,0.1,,100.0,100.0,,,0.5,1.5,,,800.0,10.1016_j.jelechem.2025.119106_extracted_structured
1012.5,0.46,0.41,947.9,0.05,,,,,,,,,1.0,232.0,10000.0,80.3,8.0,,0.0,1.0,,,800.0,10.1016_j.jelechem.2019.05.015_extracted_structured
1281.8,0.74,0.54,1072.1,0.2,,,,,,,,,1.0,278.0,10000.0,88.8,8.0,,0.0,1.0,,,800.0,10.1016_j.jelechem.2019.05.015_extracted_structured
1281.8,0.74,0.54,1072.1,0.2,,,,,,,,,1.0,170.0,10000.0,88.8,8.0,,0.0,1.0,,,800.0,10.1016_j.jelechem.2019.05.015_extracted_structured
1309.8,0.78,0.55,1050.5,0.23,,,,,,,,,1.0,242.0,10000.0,85.7,,,0.0,1.0,,,800.0,10.1016_j.jelechem.2019.05.015_extracted_structured
1309.8,0.78,0.55,1050.5,0.23,,,,,,,,,1.0,182.0,10000.0,85.7,,,0.0,1.0,,,800.0,10.1016_j.jelechem.2019.05.015_extracted_structured
2394.1,1.0954,,,,1.832,,,87.06,1.52,11.42,,,5.0,220.0,3000.0,,,,0.0,1.0,,,700.0,10.1016_j.apsusc.2017.02.209_extracted_structured
2792.9,1.2393,,,,1.775,,,85.42,,14.58,,,5.0,280.0,3000.0,,,,0.0,1.0,,,800.0,10.1016_j.apsusc.2017.02.209_extracted_structured
,1.8359,,,,2.1132,1.014,,91.23,,8.77,,,5.0,,20000.0,,,,0.0,1.0,,,700.0,10.1016_j.apsusc.2017.02.209_extracted_structured
,1.8359,,,,2.1132,1.014,,91.23,,8.77,,,10.0,207.0,20000.0,,,,0.0,1.0,,,700.0,10.1016_j.apsusc.2017.02.209_extracted_structured
1990.0,0.94,,,,,0.96,,,,,,,1.0,115.0,,,27.8,5000.0,0.0,3.2,2.7,,850.0,10.1016_j.electacta.2020.135872_extracted_structured
1990.0,0.94,,,,,0.96,,,,,,,5.0,27.0,,,27.8,5000.0,0.0,3.2,2.7,,850.0,10.1016_j.electacta.2020.135872_extracted_structured
19.42,,,,,,,,,,,,,5.0,30.0,,,,,0.0,1.0,3.9,1.4,,10.1016_j.apsusc.2019.05.004_extracted_structured
19.42,,,,,,,,,,,,,1.0,43.0,,,,,0.0,1.0,3.9,1.4,,10.1016_j.apsusc.2019.05.004_extracted_structured
432.05,,,,,,,,,,,,,5.0,36.0,,,,,0.0,1.0,3.58,1.37,600.0,10.1016_j.apsusc.2019.05.004_extracted_structured
432.05,,,,,,,,,,,,,1.0,91.0,,,,,0.0,1.0,3.58,1.37,600.0,10.1016_j.apsusc.2019.05.004_extracted_structured
278.9,,,,,,,,,,,,,5.0,245.0,,,,,0.0,1.0,3.11,1.11,700.0,10.1016_j.apsusc.2019.05.004_extracted_structured
278.9,,,,,,,,,,,,,1.0,290.0,,,,,0.0,1.0,3.11,1.11,700.0,10.1016_j.apsusc.2019.05.004_extracted_structured
153.48,,,,,,,,,,,,,5.0,376.0,8000.0,91.0,,,0.0,1.0,2.55,0.84,800.0,10.1016_j.apsusc.2019.05.004_extracted_structured
153.48,,,,,,,,,,,,,1.0,404.0,8000.0,91.0,,,0.0,1.0,2.55,0.84,800.0,10.1016_j.apsusc.2019.05.004_extracted_structured
721.91,,,,,,0.71,,,,,,,1.0,211.0,4000.0,88.0,29.3,279.78,0.0,1.0,,,900.0,10.1016_j.apsusc.2019.05.004_extracted_structured
2532.9,1.35,0.65,1236.1,,2.35,1.04,,94.12,1.12,4.76,,,1.0,249.0,10000.0,94.0,,,0.0,1.0,0.66,0.92,700.0,10.1016_j.apsusc.2021.150692_extracted_structured
2751.0,1.26,0.81,1733.1,,2.24,0.93,,,,,,,1.0,320.0,10000.0,95.0,,,0.0,1.0,0.6,0.38,800.0,10.1016_j.apsusc.2021.150692_extracted_structured
2794.0,1.44,0.7,1408.5,,2.46,,,94.12,1.12,4.76,,,1.0,397.0,10000.0,92.0,54.2,9461.0,0.0,1.0,0.55,0.22,900.0,10.1016_j.apsusc.2021.150692_extracted_structured
2794.0,1.44,0.7,1408.5,,2.46,,,94.12,1.12,4.76,,,,293.0,10000.0,92.0,54.2,9461.0,0.0,1.0,0.55,0.22,900.0,10.1016_j.apsusc.2021.150692_extracted_structured
1973.2,1.83,0.28,602.0,,3.55,,,,,,,,,,10000.0,95.0,,,0.0,1.0,0.53,0.18,,10.1016_j.apsusc.2021.150692_extracted_structured
,,,,,,,,,,,,,0.5,,,,,,0.1,1.7,,,850.0,10.1016_j.apsusc.2020.145384_extracted_structured
804.0,0.315,,500.0,,,0.97,,91.23,,7.71,,,0.5,,,,,,0.1,1.7,,,850.0,10.1016_j.apsusc.2020.145384_extracted_structured
804.0,0.315,,500.0,,,0.97,,91.23,,7.71,,,,,,,,,0.1,1.7,,,850.0,10.1016_j.apsusc.2020.145384_extracted_structured
1770.0,0.64,,1020.0,,,1.1,,90.66,,8.06,,,0.5,,10000.0,90.0,,15390.0,0.1,1.7,,,850.0,10.1016_j.apsusc.2020.145384_extracted_structured
1770.0,0.64,,1020.0,,,1.1,,90.66,,8.06,,,,,10000.0,90.0,,15390.0,0.1,1.7,,,850.0,10.1016_j.apsusc.2020.145384_extracted_structured
1781.0,0.784,,950.0,,,1.18,,90.64,,9.3,,,0.5,,,,,,0.1,1.7,,,850.0,10.1016_j.apsusc.2020.145384_extracted_structured
1781.0,0.784,,950.0,,,1.18,,90.64,,9.3,,,,,,,,,0.1,1.7,,,850.0,10.1016_j.apsusc.2020.145384_extracted_structured
44.82,,,,,,,,,,,,,0.25,60.0,4000.0,91.0,,,-1.0,0.0,,,700.0,10.1016_j.jaap.2023.106207_extracted_structured
44.82,,,,,,,,,,,,,0.5,53.0,4000.0,91.0,,,-1.0,0.0,,,700.0,10.1016_j.jaap.2023.106207_extracted_structured
44.82,,,,,,,,,,,,,1.0,45.0,4000.0,91.0,,,-1.0,0.0,,,700.0,10.1016_j.jaap.2023.106207_extracted_structured
44.82,,,,,,,,,,,,,2.0,30.0,4000.0,91.0,,,-1.0,0.0,,,700.0,10.1016_j.jaap.2023.106207_extracted_structured
44.82,,,,,,,,,,,,,3.0,21.0,4000.0,91.0,,,-1.0,0.0,,,700.0,10.1016_j.jaap.2023.106207_extracted_structured
44.82,,,,,,,,,,,,,4.0,12.0,4000.0,91.0,,,-1.0,0.0,,,700.0,10.1016_j.jaap.2023.106207_extracted_structured
44.82,,,,,,,,,,,,,5.0,10.0,4000.0,91.0,,,-1.0,0.0,,,700.0,10.1016_j.jaap.2023.106207_extracted_structured
307.42,,,,,,,,,,,,,0.25,112.0,4000.0,94.0,,,-1.0,0.0,,,700.0,10.1016_j.jaap.2023.106207_extracted_structured
307.42,,,,,,,,,,,,,0.5,104.0,4000.0,94.0,,,-1.0,0.0,,,700.0,10.1016_j.jaap.2023.106207_extracted_structured
307.42,,,,,,,,,,,,,1.0,95.0,4000.0,94.0,,,-1.0,0.0,,,700.0,10.1016_j.jaap.2023.106207_extracted_structured
307.42,,,,,,,,,,,,,2.0,86.0,4000.0,94.0,,,-1.0,0.0,,,700.0,10.1016_j.jaap.2023.106207_extracted_structured
307.42,,,,,,,,,,,,,3.0,76.0,4000.0,94.0,,,-1.0,0.0,,,700.0,10.1016_j.jaap.2023.106207_extracted_structured
307.42,,,,,,,,,,,,,4.0,65.0,4000.0,94.0,,,-1.0,0.0,,,700.0,10.1016_j.jaap.2023.106207_extracted_structured
307.42,,,,,,,,,,,,,5.0,58.0,4000.0,94.0,,,-1.0,0.0,,,700.0,10.1016_j.jaap.2023.106207_extracted_structured
307.42,,,,,,,,,,,,,8.0,43.0,4000.0,94.0,,,-1.0,0.0,,,700.0,10.1016_j.jaap.2023.106207_extracted_structured
307.42,,,,,,,,,,,,,10.0,36.0,4000.0,94.0,,,-1.0,0.0,,,700.0,10.1016_j.jaap.2023.106207_extracted_structured
307.42,,,,,,,,,,,,,12.0,30.0,4000.0,94.0,,,-1.0,0.0,,,700.0,10.1016_j.jaap.2023.106207_extracted_structured
,,,,,,,,,,,,,1.0,375.0,,,,,0.0,1.2,,,800.0,10.1016_j.jallcom.2022.163624_extracted_structured
3043.3,,,,,2.91,,,,,,,,1.0,375.0,,,,,0.0,1.2,,,800.0,10.1016_j.jallcom.2022.163624_extracted_structured
3043.3,,,,,2.91,,,,,,,,2.0,332.0,,,,,0.0,1.2,,,800.0,10.1016_j.jallcom.2022.163624_extracted_structured
3043.3,,,,,2.91,,,,,,,,3.0,318.0,,,,,0.0,1.2,,,800.0,10.1016_j.jallcom.2022.163624_extracted_structured
3043.3,,,,,2.91,,,,,,,,4.0,309.0,,,,,0.0,1.2,,,800.0,10.1016_j.jallcom.2022.163624_extracted_structured
3043.3,,,,,2.91,,,,,,,,5.0,305.0,,,,,0.0,1.2,,,800.0,10.1016_j.jallcom.2022.163624_extracted_structured
3043.3,,,,,2.91,,,,,,,,10.0,299.0,,,,,0.0,1.2,,,800.0,10.1016_j.jallcom.2022.163624_extracted_structured
,,,,,,,,,,,,,,,,,,,0.0,1.2,,,800.0,10.1016_j.jallcom.2022.163624_extracted_structured
4.0,0.024,,47.0,,,1.03,0.333,,,,,,,,,,,,,,,,,10.1016_j.nantod.2020.100881_extracted_structured
7.0,0.032,,67.0,,,1.09,0.332,,,,,,,,,,,,,,,,,10.1016_j.nantod.2020.100881_extracted_structured
12.0,0.06,,88.0,,,1.15,0.334,,,,,,,,,,,,,,,,,10.1016_j.nantod.2020.100881_extracted_structured
18.0,0.05,,63.0,,,1.26,0.335,,,,,,,,,,,,,,,,,10.1016_j.nantod.2020.100881_extracted_structured
49.0,0.12,,92.0,,,1.41,0.342,,,,,,,,,,,,,,,,,10.1016_j.nantod.2020.100881_extracted_structured
459.5,0.21,,,,,0.78,,73.62,2.05,21.45,,,0.5,248.0,,,8.6,1666.7,0.0,1.0,0.56,2.56,,10.1016_j.indcrop.2023.117701_extracted_structured
459.5,0.21,,,,,0.78,,73.62,2.05,21.45,,,0.5,167.2,,,8.6,1666.7,0.0,1.0,0.56,2.56,,10.1016_j.indcrop.2023.117701_extracted_structured
2262.57,1.52,0.64,,0.88,,1.01,,,,,,,,,,,,,-1.0,0.0,,,700.0,10.1016_j.carbon.2022.08.026_extracted_structured
2423.04,1.71,0.41,,,,1.04,,,,,,,,,,,,,-1.0,0.0,,,750.0,10.1016_j.carbon.2022.08.026_extracted_structured
2700.65,1.74,0.18,,,,0.97,,,,,,,1.0,332.0,10000.0,93.0,17.7,166.4,-1.0,0.0,0.007,0.07,800.0,10.1016_j.carbon.2022.08.026_extracted_structured
2700.65,1.74,0.18,,,,0.97,,,,,,,0.5,286.9,10000.0,93.0,17.7,166.4,-1.0,0.0,0.007,0.07,800.0,10.1016_j.carbon.2022.08.026_extracted_structured
2640.35,1.95,0.14,,,,0.96,,,,,,,,,,,,,-1.0,0.0,,,850.0,10.1016_j.carbon.2022.08.026_extracted_structured
1478.1,0.99,0.13,,0.86,,1.01,,,,,,,,,,,,,-1.0,0.0,,,800.0,10.1016_j.carbon.2022.08.026_extracted_structured
,,,,,,,,,,,,,1.0,0.005,5000.0,90.0,,,,,,,,10.1016_j.est.2023.108670_extracted_structured
501.0,0.31,0.19,368.0,0.12,1.7,,0.376,,,,,,1.0,18.0,,,,,0.0,2.7,,7.8,,10.1016_j.jpowsour.2020.228387_extracted_structured
1378.0,0.81,0.18,355.0,0.63,3.6,,0.367,,,,,,1.0,127.0,5000.0,90.0,,,0.0,1.0,1.0,4.0,800.0,10.1016_j.jpowsour.2020.228387_extracted_structured
1378.0,0.81,0.18,355.0,0.63,3.6,,0.367,,,,,,1.0,80.0,5000.0,90.0,,,0.0,1.0,1.0,4.0,800.0,10.1016_j.jpowsour.2020.228387_extracted_structured
1373.0,0.8,0.32,628.0,0.48,4.2,,0.37,,,,,,1.0,79.0,,,,,0.0,2.7,,,800.0,10.1016_j.jpowsour.2020.228387_extracted_structured
1387.4,,,,,,,,69.35,7.62,23.03,,,1.0,276.7,5000.0,93.3,,,0.0,1.5,,,650.0,10.1016_j.inoche.2024.112859_extracted_structured
1387.4,,,,,,,,69.35,7.62,23.03,,,10.0,190.4,5000.0,93.3,,,0.0,1.5,,,650.0,10.1016_j.inoche.2024.112859_extracted_structured
1387.4,,,,,,,,69.35,7.62,23.03,,,0.5,126.2,5000.0,93.3,,,0.0,1.5,,,650.0,10.1016_j.inoche.2024.112859_extracted_structured
1387.4,,,,,,,,69.35,7.62,23.03,,,5.0,90.6,5000.0,93.3,,,0.0,1.5,,,650.0,10.1016_j.inoche.2024.112859_extracted_structured
,,,,,,,,,,,,,,,,,,,,,,,,10.1016_j.jechem.2024.11.075_extracted_structured
1389.0,1.63,,,,,,,,,,,,,,,,,,,,,,800.0,10.1016_j.carbon.2017.02.100_extracted_structured
1937.0,2.08,,,,,,,,,,,,,,,,,,,,,,800.0,10.1016_j.carbon.2017.02.100_extracted_structured
,,,,,,,,,,,,,,,,,,,,,,,,10.1016_j.carbon.2017.02.100_extracted_structured
983.0,1.06,,,,,,,,,,,,,,,,,,,,,,,10.1016_j.carbon.2017.02.100_extracted_structured
44.8,0.208,0.002,,,,,,,,,,,,,,,,,,,,,,10.1016_j.carbon.2017.02.100_extracted_structured
0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,10.1016_j.pecs.2023.101101_extracted_structured
63.7,,,,,,,,,,,,,1.0,109.0,10000.0,94.0,5.05,2460.0,-0.2,0.4,2.48,,,10.1016_j.chemosphere.2021.133197_extracted_structured
63.7,,,,,,,,,,,,,10.0,57.0,10000.0,94.0,5.05,2460.0,-0.2,0.4,2.48,,,10.1016_j.chemosphere.2021.133197_extracted_structured
31.3,,,,,,,,,,,,,1.0,76.0,10000.0,,3.55,2070.0,-0.2,0.4,3.07,,,10.1016_j.chemosphere.2021.133197_extracted_structured
31.3,,,,,,,,,,,,,10.0,15.0,10000.0,,3.55,2070.0,-0.2,0.4,3.07,,,10.1016_j.chemosphere.2021.133197_extracted_structured
63.7,,,,,,1.14,,,,,,,1.0,149.0,10000.0,90.0,6.96,2070.0,-0.2,0.4,1.38,8.5,,10.1016_j.chemosphere.2021.133197_extracted_structured
63.7,,,,,,1.14,,,,,,,10.0,57.0,10000.0,90.0,6.96,2070.0,-0.2,0.4,1.38,8.5,,10.1016_j.chemosphere.2021.133197_extracted_structured
2176.0,,,,,,,,,,,,,0.2,,100.0,,,,0.0,3.0,,,,10.1016_j.diamond.2018.04.019_extracted_structured
5.0,,,,,,,,,,,,,0.2,,,,,,0.0,3.0,,,,10.1016_j.diamond.2018.04.019_extracted_structured
51.54,0.04,0.02,,0.02,,0.7,,,,,,,0.1,178.54,,,,,-1.0,0.0,,,700.0,10.1016_j.est.2019.100958_extracted_structured
51.54,0.04,0.02,,0.02,,0.7,,,,,,,2.0,126.72,,,,,-1.0,0.0,,,700.0,10.1016_j.est.2019.100958_extracted_structured
2251.04,1.04,0.8,0.93,0.24,,0.83,,,,,,,0.1,178.54,2000.0,95.0,65.23,2000.0,-1.0,0.0,,,850.0,10.1016_j.est.2019.100958_extracted_structured
2251.04,1.04,0.8,0.93,0.24,,0.83,,,,,,,2.0,126.72,2000.0,95.0,65.23,2000.0,-1.0,0.0,,,850.0,10.1016_j.est.2019.100958_extracted_structured
1889.63,0.87,0.73,0.8,0.14,,0.86,,,,,,,,,,,,,-1.0,0.0,,,850.0,10.1016_j.est.2019.100958_extracted_structured
1462.71,0.74,0.16,0.58,0.58,,0.92,,,,,,,,,,,,,-1.0,0.0,,,850.0,10.1016_j.est.2019.100958_extracted_structured
1826.96,0.96,0.23,0.73,0.73,,0.81,,,,,,,,,,,,,-1.0,0.0,,,850.0,10.1016_j.est.2019.100958_extracted_structured
1098.0,,,,,,,,,,,,,,,,,,,,,,,700.0,10.1016_j.chemosphere.2024.143486_extracted_structured
451.0,,,,,,,,,,,,,,,,,,,,,,,,10.1016_j.chemosphere.2024.143486_extracted_structured
395.0,,,,,,,,,,,,,,,,,,,,,,,,10.1016_j.chemosphere.2024.143486_extracted_structured
205.0,,,,,5.6,1.0,,87.0,2.0,10.0,,1.0,1.0,123.0,10000.0,96.0,,,-0.5,0.4,,,800.0,10.1016_j.matlet.2021.131445_extracted_structured
205.0,,,,,5.6,1.0,,87.0,2.0,10.0,,1.0,1.5,99.0,10000.0,96.0,,,-0.5,0.4,,,800.0,10.1016_j.matlet.2021.131445_extracted_structured
205.0,,,,,5.6,1.0,,87.0,2.0,10.0,,1.0,2.0,83.0,10000.0,96.0,,,-0.5,0.4,,,800.0,10.1016_j.matlet.2021.131445_extracted_structured
205.0,,,,,5.6,1.0,,87.0,2.0,10.0,,1.0,2.5,70.0,10000.0,96.0,,,-0.5,0.4,,,800.0,10.1016_j.matlet.2021.131445_extracted_structured
205.0,,,,,5.6,1.0,,87.0,2.0,10.0,,1.0,3.0,60.0,10000.0,96.0,,,-0.5,0.4,,,800.0,10.1016_j.matlet.2021.131445_extracted_structured
205.0,,,,,5.6,1.0,,87.0,2.0,10.0,,1.0,4.0,48.0,10000.0,96.0,,,-0.5,0.4,,,800.0,10.1016_j.matlet.2021.131445_extracted_structured
205.0,,,,,5.6,1.0,,87.0,2.0,10.0,,1.0,5.0,37.0,10000.0,96.0,,,-0.5,0.4,,,800.0,10.1016_j.matlet.2021.131445_extracted_structured
1380.0,0.62,0.45,1156.0,0.24,,,,,,,,,,,,,,,,,,,700.0,10.1016_j.egypro.2017.08.033_extracted_structured
1706.0,1.12,0.02,116.0,1.1,,,,,,,,,,,,,,,,,,,800.0,10.1016_j.egypro.2017.08.033_extracted_structured
1647.0,0.69,0.6,1571.0,0.38,,,,,,,,,,,,,,,,,,,700.0,10.1016_j.egypro.2017.08.033_extracted_structured
2875.0,1.59,0.07,293.0,0.12,,,,,,,,,,,,,,,,,,,800.0,10.1016_j.egypro.2017.08.033_extracted_structured
1319.0,0.68,,,,2.3,0.97,,,,,,,0.02,248.0,10000.0,99.0,,,0.0,1.0,1.4,,800.0,10.1016_j.fub.2024.100002_extracted_structured
1319.0,0.68,,,,2.3,0.97,,,,,,,,,10000.0,99.0,,,0.0,1.0,1.4,,800.0,10.1016_j.fub.2024.100002_extracted_structured
177.08,0.099,,,,2.9004,0.92,,,,,,,0.25,60.0,,,,,0.0,-1.0,0.3,1.53,800.0,10.1016_j.est.2025.115373_extracted_structured
277.21,0.0718,,,,2.7339,0.91,,78.0,,22.0,,,0.25,273.0,7500.0,97.4,23.17,325.0,0.0,-1.0,0.94,7.31,800.0,10.1016_j.est.2025.115373_extracted_structured
277.21,0.0718,,,,2.7339,0.91,,78.0,,22.0,,,0.25,98.73,7500.0,97.4,23.17,325.0,0.0,-1.0,0.94,7.31,800.0,10.1016_j.est.2025.115373_extracted_structured
959.0,0.53,0.26,651.0,0.27,3.87,1.12,,,7.98,,,0.0,1.0,,1000.0,99.0,,,0.2,1.2,0.5,1.2,800.0,10.1016_j.jelechem.2022.116645_extracted_structured
959.0,0.53,0.26,651.0,0.27,3.87,1.12,,,7.98,,,0.0,5.0,255.0,1000.0,99.0,,,0.2,1.2,0.5,1.2,800.0,10.1016_j.jelechem.2022.116645_extracted_structured
774.0,0.41,0.22,567.0,0.19,4.15,1.05,,,,,,0.0,1.0,348.0,1000.0,97.0,,,0.2,1.2,0.8,1.5,800.0,10.1016_j.jelechem.2022.116645_extracted_structured
774.0,0.41,0.22,567.0,0.19,4.15,1.05,,,,,,0.0,5.0,117.0,1000.0,97.0,,,0.2,1.2,0.8,1.5,800.0,10.1016_j.jelechem.2022.116645_extracted_structured
726.0,0.35,0.22,157.0,0.13,3.62,0.98,,,,,,,1.0,180.0,1000.0,93.0,,,0.2,1.2,1.0,1.8,800.0,10.1016_j.jelechem.2022.116645_extracted_structured
726.0,0.35,0.22,157.0,0.13,3.62,0.98,,,,,,,5.0,26.0,1000.0,93.0,,,0.2,1.2,1.0,1.8,800.0,10.1016_j.jelechem.2022.116645_extracted_structured
588.0,0.29,0.18,113.0,0.11,4.63,0.91,,,,,,,1.0,175.0,1000.0,84.0,,,0.2,1.2,1.2,2.0,800.0,10.1016_j.jelechem.2022.116645_extracted_structured
588.0,0.29,0.18,113.0,0.11,4.63,0.91,,,,,,,5.0,15.0,1000.0,84.0,,,0.2,1.2,1.2,2.0,800.0,10.1016_j.jelechem.2022.116645_extracted_structured
87.0,,,,,,0.91,,,,,,,5.0,72.0,10000.0,83.0,19.78,400.0,0.2,1.8,2.7,,800.0,10.1016_j.carbon.2025.120228_extracted_structured
87.0,,,,,,0.91,,,,,,,1.0,40.0,10000.0,83.0,19.78,400.0,0.2,1.8,2.7,,800.0,10.1016_j.carbon.2025.120228_extracted_structured
736.0,,,,,,0.98,,,,,,,5.0,280.0,10000.0,89.0,14.4,796.1,0.2,1.8,2.2,,800.0,10.1016_j.carbon.2025.120228_extracted_structured
736.0,,,,,,0.98,,,,,,,1.0,154.0,10000.0,89.0,14.4,796.1,0.2,1.8,2.2,,800.0,10.1016_j.carbon.2025.120228_extracted_structured
375.0,,,,,,1.01,,,,,,,5.0,490.0,10000.0,98.0,,,0.2,1.8,1.4,,800.0,10.1016_j.carbon.2025.120228_extracted_structured
375.0,,,,,,1.01,,,,,,,1.0,480.0,10000.0,98.0,,,0.2,1.8,1.4,,800.0,10.1016_j.carbon.2025.120228_extracted_structured
752.0,,,,,4.1,,,85.0,5.0,10.0,,,1.2,523.0,,,,,0.0,1.2,,,800.0,10.1016_j.cej.2021.130606_extracted_structured
801.0,,,,,3.5,,,,,,,,1.2,523.0,,,,,0.0,1.2,,,800.0,10.1016_j.cej.2021.130606_extracted_structured
516.0,,,391.74,,1.79,,,90.56,,7.66,,,,,,,,,,,,,600.0,10.1016_j.rechem.2022.100291_extracted_structured
42.0,0.023,0.012,19.71,,3.46,,,90.44,,7.45,,,,,,,,,,,,,600.0,10.1016_j.rechem.2022.100291_extracted_structured
23.0,0.011,0.008,17.97,,3.48,,,93.32,,7.48,,,,,,,,,,,,,600.0,10.1016_j.rechem.2022.100291_extracted_structured
971.07,0.406,0.343,,0.063,1.67,,,96.54,,3.46,,,0.5,349.0,,,,,0.0,1.0,1.46,0.95,,10.1016_j.jiec.2024.07.043_extracted_structured
971.07,0.406,0.343,,0.063,1.67,,,96.54,,3.46,,,,228.0,,,,,0.0,1.0,1.46,0.95,,10.1016_j.jiec.2024.07.043_extracted_structured
1295.52,0.574,0.48,,0.094,1.76,,,93.82,,6.18,,,,,,,,,0.0,1.0,,,,10.1016_j.jiec.2024.07.043_extracted_structured
